state,fuel_type,year,registrations
Andaman,DIESEL,2022,697
Andaman,DIESEL/HYBRID,2022,0
Andaman,ELECTRIC(BOV),2022,23
Andaman,PETROL,2022,6303
Andaman,PETROL(E20),2022,0
Andaman,PETROL(E20)/CNG,2022,0
Andaman,PETROL(E20)/HYBRID,2022,0
Andaman,PETROL/CNG,2022,0
Andaman,PETROL/HYBRID,2022,28
Andaman,PETROL/LPG,2022,0
Andaman,PURE EV,2022,0
Andaman,STRONG HYBRID EV,2022,0
Andaman,DIESEL,2023,852
Andaman,DIESEL/HYBRID,2023,0
Andaman,ELECTRIC(BOV),2023,26
Andaman,PETROL,2023,6847
Andaman,PETROL(E20),2023,178
Andaman,PETROL(E20)/CNG,2023,0
Andaman,PETROL(E20)/HYBRID,2023,0
Andaman,PETROL/CNG,2023,0
Andaman,PETROL/HYBRID,2023,170
Andaman,PETROL/LPG,2023,0
Andaman,PURE EV,2023,0
Andaman,STRONG HYBRID EV,2023,0
Andaman,DIESEL,2024,687
Andaman,DIESEL/HYBRID,2024,0
Andaman,ELECTRIC(BOV),2024,46
Andaman,PETROL,2024,7154
Andaman,PETROL(E20),2024,277
Andaman,PETROL(E20)/CNG,2024,0
Andaman,PETROL(E20)/HYBRID,2024,0
Andaman,PETROL/CNG,2024,0
Andaman,PETROL/HYBRID,2024,259
Andaman,PETROL/LPG,2024,0
Andaman,PURE EV,2024,18
Andaman,STRONG HYBRID EV,2024,18
Andaman,DIESEL,2025,601
Andaman,DIESEL/HYBRID,2025,1
Andaman,ELECTRIC(BOV),2025,27
Andaman,PETROL,2025,5132
Andaman,PETROL(E20),2025,3380
Andaman,PETROL(E20)/CNG,2025,1
Andaman,PETROL(E20)/HYBRID,2025,58
Andaman,PETROL/CNG,2025,3
Andaman,PETROL/HYBRID,2025,280
Andaman,PETROL/LPG,2025,1
Andaman,PURE EV,2025,139
Andaman,STRONG HYBRID EV,2025,37
Andaman,DIESEL,2026,326
Andaman,DIESEL/HYBRID,2026,0
Andaman,ELECTRIC(BOV),2026,1
Andaman,PETROL,2026,1269
Andaman,PETROL(E20),2026,3797
Andaman,PETROL(E20)/CNG,2026,4
Andaman,PETROL(E20)/HYBRID,2026,179
Andaman,PETROL/CNG,2026,3
Andaman,PETROL/HYBRID,2026,28
Andaman,PETROL/LPG,2026,0
Andaman,PURE EV,2026,58
Andaman,STRONG HYBRID EV,2026,26
Andhrapradesh,CNG ONLY,2022,5916
Andhrapradesh,DIESEL,2022,105594
Andhrapradesh,DIESEL/HYBRID,2022,10
Andhrapradesh,ELECTRIC(BOV),2022,29354
Andhrapradesh,ETHANOL(E100),2022,0
Andhrapradesh,LNG,2022,0
Andhrapradesh,LPG ONLY,2022,0
Andhrapradesh,NOT APPLICABLE,2022,14756
Andhrapradesh,PETROL,2022,681773
Andhrapradesh,PETROL(E20),2022,0
Andhrapradesh,PETROL(E20)/CNG,2022,0
Andhrapradesh,PETROL(E20)/HYBRID,2022,0
Andhrapradesh,PETROL(E20)/HYBRID/CNG,2022,0
Andhrapradesh,PETROL(E20)/LPG,2022,0
Andhrapradesh,PETROL/CNG,2022,3915
Andhrapradesh,PETROL/HYBRID,2022,7071
Andhrapradesh,PETROL/HYBRID/CNG,2022,15
Andhrapradesh,PETROL/LPG,2022,26
Andhrapradesh,PLUG-IN HYBRID EV,2022,0
Andhrapradesh,PURE EV,2022,0
Andhrapradesh,STRONG HYBRID EV,2022,0
Andhrapradesh,CNG ONLY,2023,11711
Andhrapradesh,DIESEL,2023,119845
Andhrapradesh,DIESEL/HYBRID,2023,34
Andhrapradesh,ELECTRIC(BOV),2023,32874
Andhrapradesh,ETHANOL(E100),2023,0
Andhrapradesh,LNG,2023,0
Andhrapradesh,LPG ONLY,2023,0
Andhrapradesh,NOT APPLICABLE,2023,10872
Andhrapradesh,PETROL,2023,684326
Andhrapradesh,PETROL(E20),2023,15679
Andhrapradesh,PETROL(E20)/CNG,2023,0
Andhrapradesh,PETROL(E20)/HYBRID,2023,0
Andhrapradesh,PETROL(E20)/HYBRID/CNG,2023,1
Andhrapradesh,PETROL(E20)/LPG,2023,0
Andhrapradesh,PETROL/CNG,2023,5041
Andhrapradesh,PETROL/HYBRID,2023,10955
Andhrapradesh,PETROL/HYBRID/CNG,2023,20
Andhrapradesh,PETROL/LPG,2023,12
Andhrapradesh,PLUG-IN HYBRID EV,2023,0
Andhrapradesh,PURE EV,2023,1
Andhrapradesh,STRONG HYBRID EV,2023,1
Andhrapradesh,CNG ONLY,2024,9705
Andhrapradesh,DIESEL,2024,102118
Andhrapradesh,DIESEL/HYBRID,2024,111
Andhrapradesh,ELECTRIC(BOV),2024,41889
Andhrapradesh,ETHANOL(E100),2024,0
Andhrapradesh,LNG,2024,0
Andhrapradesh,LPG ONLY,2024,5
Andhrapradesh,NOT APPLICABLE,2024,10222
Andhrapradesh,PETROL,2024,692593
Andhrapradesh,PETROL(E20),2024,25410
Andhrapradesh,PETROL(E20)/CNG,2024,1
Andhrapradesh,PETROL(E20)/HYBRID,2024,0
Andhrapradesh,PETROL(E20)/HYBRID/CNG,2024,3
Andhrapradesh,PETROL(E20)/LPG,2024,0
Andhrapradesh,PETROL/CNG,2024,6152
Andhrapradesh,PETROL/HYBRID,2024,7802
Andhrapradesh,PETROL/HYBRID/CNG,2024,34
Andhrapradesh,PETROL/LPG,2024,10
Andhrapradesh,PLUG-IN HYBRID EV,2024,1
Andhrapradesh,PURE EV,2024,14605
Andhrapradesh,STRONG HYBRID EV,2024,997
Andhrapradesh,CNG ONLY,2025,9788
Andhrapradesh,DIESEL,2025,112639
Andhrapradesh,DIESEL/HYBRID,2025,210
Andhrapradesh,ELECTRIC(BOV),2025,10900
Andhrapradesh,ETHANOL(E100),2025,16
Andhrapradesh,LNG,2025,3
Andhrapradesh,LPG ONLY,2025,9
Andhrapradesh,NOT APPLICABLE,2025,5555
Andhrapradesh,PETROL,2025,508386
Andhrapradesh,PETROL(E20),2025,213862
Andhrapradesh,PETROL(E20)/CNG,2025,977
Andhrapradesh,PETROL(E20)/HYBRID,2025,684
Andhrapradesh,PETROL(E20)/HYBRID/CNG,2025,3
Andhrapradesh,PETROL(E20)/LPG,2025,0
Andhrapradesh,PETROL/CNG,2025,7069
Andhrapradesh,PETROL/HYBRID,2025,4963
Andhrapradesh,PETROL/HYBRID/CNG,2025,7
Andhrapradesh,PETROL/LPG,2025,2
Andhrapradesh,PLUG-IN HYBRID EV,2025,2
Andhrapradesh,PURE EV,2025,48935
Andhrapradesh,STRONG HYBRID EV,2025,1991
Andhrapradesh,CNG ONLY,2026,5281
Andhrapradesh,DIESEL,2026,66836
Andhrapradesh,DIESEL/HYBRID,2026,134
Andhrapradesh,ELECTRIC(BOV),2026,4313
Andhrapradesh,ETHANOL(E100),2026,2
Andhrapradesh,LNG,2026,0
Andhrapradesh,LPG ONLY,2026,1
Andhrapradesh,NOT APPLICABLE,2026,3973
Andhrapradesh,PETROL,2026,114085
Andhrapradesh,PETROL(E20),2026,261344
Andhrapradesh,PETROL(E20)/CNG,2026,5981
Andhrapradesh,PETROL(E20)/HYBRID,2026,3186
Andhrapradesh,PETROL(E20)/HYBRID/CNG,2026,7
Andhrapradesh,PETROL(E20)/LPG,2026,1
Andhrapradesh,PETROL/CNG,2026,465
Andhrapradesh,PETROL/HYBRID,2026,578
Andhrapradesh,PETROL/HYBRID/CNG,2026,2
Andhrapradesh,PETROL/LPG,2026,0
Andhrapradesh,PLUG-IN HYBRID EV,2026,0
Andhrapradesh,PURE EV,2026,45241
Andhrapradesh,STRONG HYBRID EV,2026,1078
Arunachal pradesh,CNG ONLY,2022,5
Arunachal pradesh,DIESEL,2022,6397
Arunachal pradesh,DIESEL/HYBRID,2022,0
Arunachal pradesh,ELECTRIC(BOV),2022,2
Arunachal pradesh,NOT APPLICABLE,2022,44
Arunachal pradesh,PETROL,2022,20025
Arunachal pradesh,PETROL(E20),2022,0
Arunachal pradesh,PETROL(E20)/CNG,2022,0
Arunachal pradesh,PETROL(E20)/HYBRID,2022,0
Arunachal pradesh,PETROL/CNG,2022,7
Arunachal pradesh,PETROL/HYBRID,2022,264
Arunachal pradesh,PETROL/LPG,2022,2
Arunachal pradesh,PURE EV,2022,0
Arunachal pradesh,STRONG HYBRID EV,2022,0
Arunachal pradesh,CNG ONLY,2023,3
Arunachal pradesh,DIESEL,2023,7684
Arunachal pradesh,DIESEL/HYBRID,2023,2
Arunachal pradesh,ELECTRIC(BOV),2023,19
Arunachal pradesh,NOT APPLICABLE,2023,94
Arunachal pradesh,PETROL,2023,20691
Arunachal pradesh,PETROL(E20),2023,1434
Arunachal pradesh,PETROL(E20)/CNG,2023,0
Arunachal pradesh,PETROL(E20)/HYBRID,2023,0
Arunachal pradesh,PETROL/CNG,2023,11
Arunachal pradesh,PETROL/HYBRID,2023,1025
Arunachal pradesh,PETROL/LPG,2023,0
Arunachal pradesh,PURE EV,2023,0
Arunachal pradesh,STRONG HYBRID EV,2023,0
Arunachal pradesh,CNG ONLY,2024,84
Arunachal pradesh,DIESEL,2024,8475
Arunachal pradesh,DIESEL/HYBRID,2024,3
Arunachal pradesh,ELECTRIC(BOV),2024,37
Arunachal pradesh,NOT APPLICABLE,2024,157
Arunachal pradesh,PETROL,2024,23661
Arunachal pradesh,PETROL(E20),2024,3136
Arunachal pradesh,PETROL(E20)/CNG,2024,0
Arunachal pradesh,PETROL(E20)/HYBRID,2024,0
Arunachal pradesh,PETROL/CNG,2024,10
Arunachal pradesh,PETROL/HYBRID,2024,1196
Arunachal pradesh,PETROL/LPG,2024,0
Arunachal pradesh,PURE EV,2024,10
Arunachal pradesh,STRONG HYBRID EV,2024,50
Arunachal pradesh,CNG ONLY,2025,11
Arunachal pradesh,DIESEL,2025,10703
Arunachal pradesh,DIESEL/HYBRID,2025,58
Arunachal pradesh,ELECTRIC(BOV),2025,25
Arunachal pradesh,NOT APPLICABLE,2025,109
Arunachal pradesh,PETROL,2025,17407
Arunachal pradesh,PETROL(E20),2025,10446
Arunachal pradesh,PETROL(E20)/CNG,2025,1
Arunachal pradesh,PETROL(E20)/HYBRID,2025,288
Arunachal pradesh,PETROL/CNG,2025,11
Arunachal pradesh,PETROL/HYBRID,2025,1278
Arunachal pradesh,PETROL/LPG,2025,0
Arunachal pradesh,PURE EV,2025,78
Arunachal pradesh,STRONG HYBRID EV,2025,125
Arunachal pradesh,CNG ONLY,2026,16
Arunachal pradesh,DIESEL,2026,5741
Arunachal pradesh,DIESEL/HYBRID,2026,59
Arunachal pradesh,ELECTRIC(BOV),2026,29
Arunachal pradesh,NOT APPLICABLE,2026,83
Arunachal pradesh,PETROL,2026,2791
Arunachal pradesh,PETROL(E20),2026,11107
Arunachal pradesh,PETROL(E20)/CNG,2026,15
Arunachal pradesh,PETROL(E20)/HYBRID,2026,798
Arunachal pradesh,PETROL/CNG,2026,3
Arunachal pradesh,PETROL/HYBRID,2026,201
Arunachal pradesh,PETROL/LPG,2026,1
Arunachal pradesh,PURE EV,2026,49
Arunachal pradesh,STRONG HYBRID EV,2026,93
Assam,CNG ONLY,2022,65
Assam,DIESEL,2022,40566
Assam,DIESEL/HYBRID,2022,4
Assam,ELECTRIC(BOV),2022,40700
Assam,ETHANOL(E100),2022,0
Assam,NOT APPLICABLE,2022,786
Assam,PETROL,2022,429818
Assam,PETROL(E20),2022,0
Assam,PETROL(E20)/CNG,2022,0
Assam,PETROL(E20)/HYBRID,2022,0
Assam,PETROL/CNG,2022,31
Assam,PETROL/HYBRID,2022,3968
Assam,PURE EV,2022,0
Assam,STRONG HYBRID EV,2022,0
Assam,CNG ONLY,2023,502
Assam,DIESEL,2023,43792
Assam,DIESEL/HYBRID,2023,21
Assam,ELECTRIC(BOV),2023,60792
Assam,ETHANOL(E100),2023,0
Assam,NOT APPLICABLE,2023,807
Assam,PETROL,2023,514979
Assam,PETROL(E20),2023,24024
Assam,PETROL(E20)/CNG,2023,0
Assam,PETROL(E20)/HYBRID,2023,0
Assam,PETROL/CNG,2023,91
Assam,PETROL/HYBRID,2023,7957
Assam,PURE EV,2023,0
Assam,STRONG HYBRID EV,2023,0
Assam,CNG ONLY,2024,1077
Assam,DIESEL,2024,39894
Assam,DIESEL/HYBRID,2024,30
Assam,ELECTRIC(BOV),2024,62330
Assam,ETHANOL(E100),2024,3
Assam,NOT APPLICABLE,2024,634
Assam,PETROL,2024,475825
Assam,PETROL(E20),2024,35178
Assam,PETROL(E20)/CNG,2024,0
Assam,PETROL(E20)/HYBRID,2024,0
Assam,PETROL/CNG,2024,113
Assam,PETROL/HYBRID,2024,8328
Assam,PURE EV,2024,5801
Assam,STRONG HYBRID EV,2024,291
Assam,CNG ONLY,2025,686
Assam,DIESEL,2025,32245
Assam,DIESEL/HYBRID,2025,67
Assam,ELECTRIC(BOV),2025,49453
Assam,ETHANOL(E100),2025,20
Assam,NOT APPLICABLE,2025,276
Assam,PETROL,2025,304809
Assam,PETROL(E20),2025,164180
Assam,PETROL(E20)/CNG,2025,55
Assam,PETROL(E20)/HYBRID,2025,1395
Assam,PETROL/CNG,2025,305
Assam,PETROL/HYBRID,2025,5878
Assam,PURE EV,2025,35689
Assam,STRONG HYBRID EV,2025,482
Assam,CNG ONLY,2026,155
Assam,DIESEL,2026,16574
Assam,DIESEL/HYBRID,2026,38
Assam,ELECTRIC(BOV),2026,20426
Assam,ETHANOL(E100),2026,0
Assam,NOT APPLICABLE,2026,102
Assam,PETROL,2026,52046
Assam,PETROL(E20),2026,190987
Assam,PETROL(E20)/CNG,2026,162
Assam,PETROL(E20)/HYBRID,2026,3614
Assam,PETROL/CNG,2026,37
Assam,PETROL/HYBRID,2026,556
Assam,PURE EV,2026,30839
Assam,STRONG HYBRID EV,2026,286
Bihar,CNG ONLY,2022,18692
Bihar,DIESEL,2022,87505
Bihar,DIESEL/HYBRID,2022,3
Bihar,ELECTRIC(BOV),2022,55755
Bihar,ETHANOL(E100),2022,2
Bihar,LPG ONLY,2022,571
Bihar,NOT APPLICABLE,2022,7519
Bihar,PETROL,2022,949830
Bihar,PETROL(E20),2022,0
Bihar,PETROL(E20)/CNG,2022,1
Bihar,PETROL(E20)/HYBRID,2022,0
Bihar,PETROL(E20)/HYBRID/CNG,2022,0
Bihar,PETROL/CNG,2022,5647
Bihar,PETROL/HYBRID,2022,4291
Bihar,PETROL/HYBRID/CNG,2022,0
Bihar,PETROL/LPG,2022,20
Bihar,PLUG-IN HYBRID EV,2022,0
Bihar,PURE EV,2022,0
Bihar,STRONG HYBRID EV,2022,0
Bihar,CNG ONLY,2023,27823
Bihar,DIESEL,2023,84353
Bihar,DIESEL/HYBRID,2023,6
Bihar,ELECTRIC(BOV),2023,88223
Bihar,ETHANOL(E100),2023,0
Bihar,LPG ONLY,2023,2596
Bihar,NOT APPLICABLE,2023,6257
Bihar,PETROL,2023,1051893
Bihar,PETROL(E20),2023,15625
Bihar,PETROL(E20)/CNG,2023,0
Bihar,PETROL(E20)/HYBRID,2023,0
Bihar,PETROL(E20)/HYBRID/CNG,2023,1
Bihar,PETROL/CNG,2023,6058
Bihar,PETROL/HYBRID,2023,5786
Bihar,PETROL/HYBRID/CNG,2023,1
Bihar,PETROL/LPG,2023,35
Bihar,PLUG-IN HYBRID EV,2023,0
Bihar,PURE EV,2023,0
Bihar,STRONG HYBRID EV,2023,0
Bihar,CNG ONLY,2024,28184
Bihar,DIESEL,2024,81553
Bihar,DIESEL/HYBRID,2024,6
Bihar,ELECTRIC(BOV),2024,97527
Bihar,ETHANOL(E100),2024,11
Bihar,LPG ONLY,2024,4847
Bihar,NOT APPLICABLE,2024,5138
Bihar,PETROL,2024,1118465
Bihar,PETROL(E20),2024,26279
Bihar,PETROL(E20)/CNG,2024,0
Bihar,PETROL(E20)/HYBRID,2024,0
Bihar,PETROL(E20)/HYBRID/CNG,2024,0
Bihar,PETROL/CNG,2024,11331
Bihar,PETROL/HYBRID,2024,6276
Bihar,PETROL/HYBRID/CNG,2024,1
Bihar,PETROL/LPG,2024,0
Bihar,PLUG-IN HYBRID EV,2024,0
Bihar,PURE EV,2024,15335
Bihar,STRONG HYBRID EV,2024,284
Bihar,CNG ONLY,2025,24568
Bihar,DIESEL,2025,91031
Bihar,DIESEL/HYBRID,2025,73
Bihar,ELECTRIC(BOV),2025,64380
Bihar,ETHANOL(E100),2025,97
Bihar,LPG ONLY,2025,3839
Bihar,NOT APPLICABLE,2025,5280
Bihar,PETROL,2025,878909
Bihar,PETROL(E20),2025,351194
Bihar,PETROL(E20)/CNG,2025,2652
Bihar,PETROL(E20)/HYBRID,2025,918
Bihar,PETROL(E20)/HYBRID/CNG,2025,1
Bihar,PETROL/CNG,2025,19277
Bihar,PETROL/HYBRID,2025,4861
Bihar,PETROL/HYBRID/CNG,2025,1
Bihar,PETROL/LPG,2025,0
Bihar,PLUG-IN HYBRID EV,2025,1
Bihar,PURE EV,2025,59427
Bihar,STRONG HYBRID EV,2025,653
Bihar,CNG ONLY,2026,10758
Bihar,DIESEL,2026,50419
Bihar,DIESEL/HYBRID,2026,73
Bihar,ELECTRIC(BOV),2026,22192
Bihar,ETHANOL(E100),2026,9
Bihar,LPG ONLY,2026,730
Bihar,NOT APPLICABLE,2026,3377
Bihar,PETROL,2026,238867
Bihar,PETROL(E20),2026,404478
Bihar,PETROL(E20)/CNG,2026,13213
Bihar,PETROL(E20)/HYBRID,2026,3023
Bihar,PETROL(E20)/HYBRID/CNG,2026,1
Bihar,PETROL/CNG,2026,2058
Bihar,PETROL/HYBRID,2026,554
Bihar,PETROL/HYBRID/CNG,2026,0
Bihar,PETROL/LPG,2026,0
Bihar,PLUG-IN HYBRID EV,2026,0
Bihar,PURE EV,2026,44656
Bihar,STRONG HYBRID EV,2026,377
Chandigarh,CNG ONLY,2022,256
Chandigarh,DIESEL,2022,9095
Chandigarh,DIESEL/HYBRID,2022,15
Chandigarh,ELECTRIC(BOV),2022,2717
Chandigarh,ETHANOL(E100),2022,0
Chandigarh,PETROL,2022,36233
Chandigarh,PETROL(E20),2022,0
Chandigarh,PETROL(E20)/CNG,2022,0
Chandigarh,PETROL(E20)/HYBRID,2022,0
Chandigarh,PETROL/CNG,2022,1017
Chandigarh,PETROL/HYBRID,2022,1527
Chandigarh,PLUG-IN HYBRID EV,2022,0
Chandigarh,PURE EV,2022,0
Chandigarh,STRONG HYBRID EV,2022,0
Chandigarh,CNG ONLY,2023,121
Chandigarh,DIESEL,2023,7648
Chandigarh,DIESEL/HYBRID,2023,79
Chandigarh,ELECTRIC(BOV),2023,6395
Chandigarh,ETHANOL(E100),2023,0
Chandigarh,PETROL,2023,34458
Chandigarh,PETROL(E20),2023,202
Chandigarh,PETROL(E20)/CNG,2023,1
Chandigarh,PETROL(E20)/HYBRID,2023,0
Chandigarh,PETROL/CNG,2023,578
Chandigarh,PETROL/HYBRID,2023,3753
Chandigarh,PLUG-IN HYBRID EV,2023,0
Chandigarh,PURE EV,2023,0
Chandigarh,STRONG HYBRID EV,2023,0
Chandigarh,CNG ONLY,2024,110
Chandigarh,DIESEL,2024,5309
